Trial,ObservationRatio,ExecutionOrder,MaskSeed,SpatterSeed,TensorInitializationSeed,ActualObservationRatio,HuberDelta,OLSTECWallTimeSeconds,RSIWallTimeSeconds,OLSTECCoreTimeSeconds,RSICoreTimeSeconds,OLSTECWallFPS,RSIWallFPS,OLSTECCoreFPS,RSICoreFPS,RSIToOLSTECWallTimeRatio,RSIToOLSTECCoreTimeRatio,RSIMeanPriorIRLSIterations,RSIMeanPosteriorIRLSIterations
17,0.1,OLSTEC_80_then_RSI_OLSTEC,10017,20017,30017,0.0999799638906896,0.1,10.4936937,17.1689723,10.228792,16.9175833,57.3677884270626,35.0632518639453,58.8534794724538,35.5842787545193,1.63612287444601,1.65391800908651,2.51827242524917,2.50498338870432
18,0.1,RSI_OLSTEC_then_OLSTEC_80,10018,20018,30018,0.10003557754639,0.1,10.3298411,17.1141388,10.0787032,16.8594051,58.2777599550878,35.1755941116944,59.729906522101,35.7070724873916,1.65676689837949,1.67277523362331,2.66279069767442,2.63953488372093
19,0.1,OLSTEC_80_then_RSI_OLSTEC,10019,20019,30019,0.0999783496070011,0.1,10.5185376,17.2533483,10.2611518,16.9992956,57.2322905419856,34.8917780788092,58.6678778107541,35.4132320635686,1.64028013742138,1.65666544373703,2.66279069767442,2.86212624584718
20,0.1,RSI_OLSTEC_then_OLSTEC_80,10020,20020,30020,0.10005137220444,0.1,10.4871207,17.3067846,10.2278709,17.0511391,57.4037447666641,34.7840464831347,58.8587796899157,35.3055591458989,1.65028944503328,1.66712498297177,2.62790697674419,2.80897009966777
21,0.1,OLSTEC_80_then_RSI_OLSTEC,10021,20021,30021,0.10006501448424,0.1,10.4395999,17.3965675,10.183502,17.1443079,57.6650451900939,34.6045275885602,59.1152238198608,35.1136950824361,1.66640174591365,1.6835375394437,2.78571428571429,2.85215946843854
22,0.1,RSI_OLSTEC_then_OLSTEC_80,10022,20022,30022,0.100028582317073,0.1,10.3414507,17.4950036,10.0850344,17.2329252,58.2123357219118,34.4098242997789,59.6924091800817,34.9331290546076,1.69173591863664,1.70876216346867,2.67109634551495,2.83720930232558
23,0.1,OLSTEC_80_then_RSI_OLSTEC,10023,20023,30023,0.0999975944007779,0.1,10.4818721,18.0023199,10.2222019,17.7514937,57.4324886105031,33.4401345684341,58.8914214265324,33.9126391375166,1.71747181498236,1.73656261866634,2.72923588039867,2.90531561461794
24,0.1,RSI_OLSTEC_then_OLSTEC_80,10024,20024,30024,0.09995005216352,0.1,10.6511153,17.6069333,10.3784779,17.3433588,56.5199026622123,34.1910763074226,58.0046521079936,34.7106928330399,1.65306006029247,1.6710888597643,2.67940199335548,2.66112956810631
25,0.1,OLSTEC_80_then_RSI_OLSTEC,10025,20025,30025,0.100065077789482,0.1,10.6721271,18.240368,10.4126511,17.9702361,56.408623544223,33.0037201003839,57.8142870839108,33.4998381017376,1.70915955451842,1.72580795490209,2.70099667774086,2.94352159468439
26,0.1,RSI_OLSTEC_then_OLSTEC_80,10026,20026,30026,0.0999747728607892,0.1,10.4698823,17.7306588,10.1955089,17.4527006,57.4982586002901,33.9524891201448,59.0456058549466,34.4932290879957,1.69349170238523,1.7118027919136,2.71760797342193,2.85714285714286
27,0.1,OLSTEC_80_then_RSI_OLSTEC,10027,20027,30027,0.100052416740945,0.1,10.6607155,18.0983755,10.392853,17.8498995,56.4690052933126,33.2626538774157,57.924421715577,33.7256800801596,1.69766987028216,1.71751678773865,2.69601328903654,2.8936877076412
28,0.1,RSI_OLSTEC_then_OLSTEC_80,10028,20028,30028,0.0999788877015639,0.1,10.6655316,17.5767437,10.4071085,17.3173796,56.4435062946136,34.2498024819011,57.8450777177926,34.7627651472166,1.64799508915242,1.66399529706066,2.53986710963455,2.68272425249169
29,0.1,OLSTEC_80_then_RSI_OLSTEC,10029,20029,30029,0.0998973505489831,0.1,10.6011302,17.8774,10.3457531,17.6012776,56.7863981144199,33.67380044078,58.1881274549264,34.2020626957216,1.68636736486832,1.70130462517997,2.66112956810631,2.85382059800664
30,0.1,RSI_OLSTEC_then_OLSTEC_80,10030,20030,30030,0.0999090303662588,0.1,10.569558,18.1506517,10.2781028,17.8781696,56.9560240835047,33.1668531769578,58.571120732515,33.6723508876434,1.71725740092443,1.73944257494681,2.65614617940199,2.8936877076412
31,0.1,OLSTEC_80_then_RSI_OLSTEC,10031,20031,30031,0.100076630996273,0.1,10.7193789,17.7566726,10.4488756,17.4924948,56.1599702385742,33.9027481984434,57.6138546428862,34.4147594087037,1.65650200124934,1.67410307765555,2.6578073089701,2.84053156146179
32,0.1,RSI_OLSTEC_then_OLSTEC_80,10032,20032,30032,0.0999830025423386,0.1,10.5898359,17.8712796,10.313735,17.5967097,56.8469620950406,33.6853327503197,58.368767473665,34.2109411511176,1.68758796347354,1.70614328368918,2.73920265780731,2.89700996677741
33,0.1,OLSTEC_80_then_RSI_OLSTEC,10033,20033,30033,0.100020669161737,0.1,10.6433983,17.8555293,10.3694231,17.5934835,56.5608824392112,33.7150464646265,58.0553029994504,34.217214572657,1.67761543791892,1.69666946081118,2.58139534883721,2.7109634551495
34,0.1,RSI_OLSTEC_then_OLSTEC_80,10034,20034,30034,0.0999787927436999,0.1,10.6778373,17.822183,10.421231,17.558486,56.3784578362137,33.7781291999976,57.7666880237085,34.2854161799599,1.66908171563918,1.68487638360574,2.70431893687708,2.81395348837209
35,0.1,OLSTEC_80_then_RSI_OLSTEC,10035,20035,30035,0.0999927515497123,0.1,10.6385497,17.7243056,10.3736266,17.4484468,56.5866604918902,33.9646592417138,58.0317783946455,34.501638277626,1.66604528810915,1.68200066117668,2.64285714285714,2.82059800664452
