Algorithm,ObservationRatio,Metric,Mean,StandardDeviation,CILower,CIUpper,ValidTrials,FailedTrials,PendingTrials,TotalTrials,CILevel,BootstrapResamples,BootstrapSeed,CIMethod
Grasta,0.7,FinalFrameReferenceNRE,0.109192575161238,0.000979571503730471,0.108929478754831,0.10946265269033,50,0,0,50,0.95,10000,20260771,percentile_bootstrap_linear_quantile
Grouse,0.7,FinalFrameReferenceNRE,0.999908526701651,7.2599739771354e-05,0.999887967336419,0.999928017868399,50,0,0,50,0.95,10000,20260772,percentile_bootstrap_linear_quantile
TeCPSGD,0.7,FinalFrameReferenceNRE,0.136318896342429,0.0186850489422866,0.131535815835817,0.141813325210471,50,0,0,50,0.95,10000,20260773,percentile_bootstrap_linear_quantile
OLSTEC_70,0.7,FinalFrameReferenceNRE,0.0799184075049715,0.0028369064514669,0.0791372871566358,0.0807175625010495,50,0,0,50,0.95,10000,20260774,percentile_bootstrap_linear_quantile
OLSTEC_80,0.7,FinalFrameReferenceNRE,0.0725263323003853,0.00171164256204232,0.0720638112060579,0.0730033237888711,50,0,0,50,0.95,10000,20260775,percentile_bootstrap_linear_quantile
OLSTEC_90,0.7,FinalFrameReferenceNRE,0.0710793723215747,0.000913551469034294,0.0708332540726906,0.0713303039098147,50,0,0,50,0.95,10000,20260776,percentile_bootstrap_linear_quantile
OLSTEC_99,0.7,FinalFrameReferenceNRE,0.0948870123247226,0.00244093875536862,0.0942006003906603,0.0955534705237227,50,0,0,50,0.95,10000,20260777,percentile_bootstrap_linear_quantile
RSI_OLSTEC,0.7,FinalFrameReferenceNRE,0.0508320526178548,0.000200834299824936,0.0507766526462404,0.0508875213673065,50,0,0,50,0.95,10000,20260778,percentile_bootstrap_linear_quantile
CP_WOPT,0.5,FinalFrameReferenceNRE,0.191728745108295,0.011834465115997,0.188304885912212,0.194751772012242,50,0,0,50,0.95,10000,20260779,percentile_bootstrap_linear_quantile
Petrels,0.5,FinalFrameReferenceNRE,0.161120822455056,0.00591017885477605,0.159495944136235,0.162747741475665,50,0,0,50,0.95,10000,20260780,percentile_bootstrap_linear_quantile
Grasta,0.5,FinalFrameReferenceNRE,0.119993860904072,0.0013390727650335,0.119626877187918,0.120365731186076,50,0,0,50,0.95,10000,20260781,percentile_bootstrap_linear_quantile
Grouse,0.5,FinalFrameReferenceNRE,1.00003733257445,8.86367567226213e-05,1.00001305692032,1.00006157609337,50,0,0,50,0.95,10000,20260782,percentile_bootstrap_linear_quantile
TeCPSGD,0.5,FinalFrameReferenceNRE,0.162459246165912,0.0218641970491457,0.156328285329389,0.168179135847934,50,0,0,50,0.95,10000,20260783,percentile_bootstrap_linear_quantile
OLSTEC_70,0.5,FinalFrameReferenceNRE,0.0922005217198333,0.00410502063358052,0.0910635242277364,0.0933178121590698,50,0,0,50,0.95,10000,20260784,percentile_bootstrap_linear_quantile
OLSTEC_80,0.5,FinalFrameReferenceNRE,0.0816113559249646,0.00393113424533942,0.0805665416952378,0.082717160399994,50,0,0,50,0.95,10000,20260785,percentile_bootstrap_linear_quantile
OLSTEC_90,0.5,FinalFrameReferenceNRE,0.0751643438600895,0.0014360481790821,0.0747803359716897,0.0755720795122579,50,0,0,50,0.95,10000,20260786,percentile_bootstrap_linear_quantile
OLSTEC_99,0.5,FinalFrameReferenceNRE,0.0947401999907842,0.00254151715166662,0.0940283843116097,0.0954095742675926,50,0,0,50,0.95,10000,20260787,percentile_bootstrap_linear_quantile
RSI_OLSTEC,0.5,FinalFrameReferenceNRE,0.0514556882282801,0.000236675665656164,0.0513904144835873,0.0515210627472049,50,0,0,50,0.95,10000,20260788,percentile_bootstrap_linear_quantile
CP_WOPT,0.3,FinalFrameReferenceNRE,0.187096854338221,0.0157347810492069,0.182622795932951,0.191306702896711,50,0,0,50,0.95,10000,20260789,percentile_bootstrap_linear_quantile
Petrels,0.3,FinalFrameReferenceNRE,0.161456704168448,0.00474752877198937,0.160136015793766,0.162765048359352,50,0,0,50,0.95,10000,20260790,percentile_bootstrap_linear_quantile
Grasta,0.3,FinalFrameReferenceNRE,0.138321617293824,0.00161088917874947,0.137892948827738,0.138775158529538,50,0,0,50,0.95,10000,20260791,percentile_bootstrap_linear_quantile
Grouse,0.3,FinalFrameReferenceNRE,1.0003061868435,0.000157109781307473,1.00026363166593,1.00034991760228,50,0,0,50,0.95,10000,20260792,percentile_bootstrap_linear_quantile
TeCPSGD,0.3,FinalFrameReferenceNRE,0.176154555315161,0.0110245554446939,0.172505165469339,0.178906326306561,50,0,0,50,0.95,10000,20260793,percentile_bootstrap_linear_quantile
OLSTEC_70,0.3,FinalFrameReferenceNRE,0.112028238227153,0.00720907581028155,0.110040686870819,0.114011675029182,50,0,0,50,0.95,10000,20260794,percentile_bootstrap_linear_quantile
OLSTEC_80,0.3,FinalFrameReferenceNRE,0.0986661621854176,0.0066155117170797,0.096860358803253,0.100536178014775,50,0,0,50,0.95,10000,20260795,percentile_bootstrap_linear_quantile
OLSTEC_90,0.3,FinalFrameReferenceNRE,0.0866640166964719,0.0046267998331901,0.0854441488974895,0.087968939105393,50,0,0,50,0.95,10000,20260796,percentile_bootstrap_linear_quantile
OLSTEC_99,0.3,FinalFrameReferenceNRE,0.0939257066919379,0.00315709427900052,0.0930738920439503,0.0948199213259746,50,0,0,50,0.95,10000,20260797,percentile_bootstrap_linear_quantile
RSI_OLSTEC,0.3,FinalFrameReferenceNRE,0.0530614892205337,0.000431230752039077,0.0529416839306762,0.0531760526266536,50,0,0,50,0.95,10000,20260798,percentile_bootstrap_linear_quantile
CP_WOPT,0.1,FinalFrameReferenceNRE,0.197769708162242,0.00304189947850134,0.196974616495781,0.198643073884147,50,0,0,50,0.95,10000,20260799,percentile_bootstrap_linear_quantile
Petrels,0.1,FinalFrameReferenceNRE,0.15811284532201,0.00478007270772333,0.156776649926995,0.159421970678881,50,0,0,50,0.95,10000,20260800,percentile_bootstrap_linear_quantile
Grasta,0.1,FinalFrameReferenceNRE,0.188858732595725,0.00339452630825766,0.187929160466965,0.189767077981303,50,0,0,50,0.95,10000,20260801,percentile_bootstrap_linear_quantile
Grouse,0.1,FinalFrameReferenceNRE,1.00167754355693,0.00061945971805377,1.00151160470493,1.00184815893688,50,0,0,50,0.95,10000,20260802,percentile_bootstrap_linear_quantile
TeCPSGD,0.1,FinalFrameReferenceNRE,0.184717470859742,0.000317069047388838,0.184629397173389,0.184805147762392,50,0,0,50,0.95,10000,20260803,percentile_bootstrap_linear_quantile
OLSTEC_70,0.1,FinalFrameReferenceNRE,0.140406947503255,0.0120880173359726,0.137225481383909,0.143745623086776,50,0,0,50,0.95,10000,20260804,percentile_bootstrap_linear_quantile
OLSTEC_80,0.1,FinalFrameReferenceNRE,0.13332884248194,0.0133992505455633,0.12982536150757,0.13720438730211,50,0,0,50,0.95,10000,20260805,percentile_bootstrap_linear_quantile
OLSTEC_90,0.1,FinalFrameReferenceNRE,0.121525879887723,0.00972183833632744,0.118815815328912,0.124232698287874,50,0,0,50,0.95,10000,20260806,percentile_bootstrap_linear_quantile
OLSTEC_99,0.1,FinalFrameReferenceNRE,0.104835013396994,0.00449479230139688,0.103617145936082,0.106061704328252,50,0,0,50,0.95,10000,20260807,percentile_bootstrap_linear_quantile
RSI_OLSTEC,0.1,FinalFrameReferenceNRE,0.0616130449889895,0.00079217051593947,0.0613975223607396,0.0618317069876166,50,0,0,50,0.95,10000,20260808,percentile_bootstrap_linear_quantile
CP_WOPT,0.7,LateWindowMeanReferenceNRE,0.185736617644894,0.000978537718248654,0.185491141671777,0.186021328630982,50,0,0,50,0.95,10000,20260809,percentile_bootstrap_linear_quantile
Petrels,0.7,LateWindowMeanReferenceNRE,0.132320862385665,0.000958543063458335,0.132058660427915,0.132582859627706,50,0,0,50,0.95,10000,20260810,percentile_bootstrap_linear_quantile
Grasta,0.7,LateWindowMeanReferenceNRE,0.102789792653521,0.000269361787473674,0.102717204758479,0.102862439854103,50,0,0,50,0.95,10000,20260811,percentile_bootstrap_linear_quantile
Grouse,0.7,LateWindowMeanReferenceNRE,0.999912614042695,6.68516152852671e-05,0.999893406601263,0.999930289498889,50,0,0,50,0.95,10000,20260812,percentile_bootstrap_linear_quantile
