Trial,DataSeed,ExecutionOrder,HuberDelta,L2SteadyStateNRE,HuberSteadyStateNRE,L2F1Score,HuberF1Score,L2WallTimeSeconds,HuberWallTimeSeconds,L2CoreTimeSeconds,HuberCoreTimeSeconds,L2WallFPS,HuberWallFPS,L2CoreFPS,HuberCoreFPS,WallTimeRatio,CoreTimeRatio,L2MeanPriorIRLSIterations,HuberMeanPriorIRLSIterations,L2MeanPosteriorIRLSIterations,HuberMeanPosteriorIRLSIterations
24,24,SquaredLossFirst,0.0444498401218095,0.176799348117848,0.016729744522535,0.291999294344679,0.995148015124096,3.4265082,3.5842234,3.3868791,3.5443958,145.921145030384,139.50023316069,147.628535072303,141.067766754492,1.04602796514539,1.04650791934085,1,2.034,1,2.012
25,25,HuberFirst,0.0442692168491342,0.151348709527371,0.016040792573281,0.353438582394083,0.994904258564179,3.4682141,3.4931612,3.4282738,3.4528328,144.166416946405,143.136824032054,145.845993980994,144.808633652924,1.00719306804041,1.00716366353236,1,2.032,1,2.02
26,26,SquaredLossFirst,0.0443403032224678,0.155146104217473,0.0163462833497794,0.345416322870872,0.994753330380261,3.5090343,3.6106838,3.4694438,3.5705174,142.489345287961,138.477924873953,144.115319003006,140.035727034967,1.0289679414077,1.02913250821356,1,2.032,1,2.016
27,27,HuberFirst,0.0441506370008748,0.158313416859302,0.0167856729304256,0.336484470182379,0.994671941366608,3.4693338,3.5608155,3.429811,3.5211489,144.119888377417,140.417272391675,145.780627562277,141.999107166414,1.02636866478515,1.02663059276444,1,2.03,1,2.014
28,28,SquaredLossFirst,0.0442024868054763,0.150715418492292,0.0164484702568788,0.349767987454225,0.994581551827408,3.427733,3.5650723,3.3884109,3.5244382,145.86900438278,140.249610085047,147.561796593205,141.866581743439,1.04006709390726,1.04014486554745,1,2.02,1,2.014
29,29,HuberFirst,0.044034781711666,0.159891744937515,0.0175765574264063,0.331657894114697,0.994332107144711,3.4101534,3.5585442,3.3703461,3.5177997,146.620970188614,140.506896050357,148.352716654233,142.134300597047,1.04351440612613,1.04375028428089,1,2.032,1,2.014
30,30,SquaredLossFirst,0.0443371196900067,0.172622106995618,0.0176079216966364,0.298309254067792,0.99451993152343,3.4368416,3.6098058,3.3958881,3.5701268,145.482410361886,138.511606358436,147.236889224942,140.051048046809,1.05032649744463,1.0513087283412,1,2.036,1,2.014
31,31,HuberFirst,0.0447636056061022,0.157439214824077,0.0169697670272668,0.346877708502427,0.995482118785504,3.4355908,3.5913987,3.3962617,3.5511332,145.53537633178,139.221523914903,147.220692681015,140.800125436016,1.04535112272393,1.0456005790131,1,2.032,1,2.02
32,32,SquaredLossFirst,0.0441134161708666,0.160503753036958,0.0169822943492846,0.3252620075875,0.994524411419517,3.5065986,3.579861,3.4667829,3.5396429,142.588319062239,139.670227419445,144.225933501633,141.257187271631,1.02089272493293,1.02101660302986,1,2.028,1,2.014
33,33,HuberFirst,0.0446583227952267,0.18403012757748,0.0165203572049249,0.277174103971458,0.995419616106263,3.4534894,3.5474045,3.4135834,3.5077949,144.781101688049,140.948121365917,146.473644089082,142.539690675758,1.02719426328629,1.0275990034402,1,2.016,1,2.012
34,34,SquaredLossFirst,0.0446276920433368,0.164380173849548,0.0162446161806928,0.318148902501242,0.995316357909222,3.4172789,3.5760463,3.3765092,3.5349396,146.315245150169,139.819218783605,148.081930296532,141.445132471287,1.04646018210571,1.0469213588993,1,2.024,1,2.016
35,35,HuberFirst,0.0446465474181669,0.169620163717765,0.0166289575292306,0.307775892384678,0.995403440366619,3.398972,3.5410173,3.3595221,3.5011777,147.103300645019,141.202360124024,148.830692317815,142.809089638609,1.04179066494222,1.04216540203739,1,2.026,1,2.016
36,36,SquaredLossFirst,0.044655167908646,0.164594387370887,0.0167253758006747,0.32067236469229,0.995122241592533,3.4052483,3.5065697,3.3653193,3.4661883,146.83217079941,142.589494228505,148.574312101678,144.250674436816,1.02975448222087,1.02997308457477,1,2.032,1,2.02
37,37,HuberFirst,0.0444589771548339,0.173572881126747,0.0169211142526218,0.303821269139579,0.994747375749083,3.4857786,3.5744591,3.4453812,3.5344621,143.439976365682,139.881303999254,145.121822804397,141.464241475386,1.02544065764819,1.02585516517011,1,2.028,1,2.02
38,38,SquaredLossFirst,0.0438869962488563,0.163547206061957,0.0164911540724645,0.322746168962274,0.994087969283183,3.4122572,3.5796212,3.3731003,3.5393933,146.530572197195,139.679583973857,148.231583863664,141.267148807678,1.04904788537042,1.04929974955088,1,2.028,1,2.016
39,39,HuberFirst,0.0439319613905983,0.163650932541839,0.0165208307751013,0.321453484918894,0.994247830699733,3.4508304,3.6075928,3.4114856,3.5677446,144.892661198302,138.596573316146,146.563714060525,140.144560796196,1.04542744262367,1.04580379879077,1,2.022,1,2.014
40,40,SquaredLossFirst,0.0439219484915129,0.164219459871491,0.0171115129409361,0.319642662868826,0.993920073010597,3.4663807,3.6299887,3.4262097,3.5887445,144.242667863919,137.74147561396,145.933858047276,139.324490779436,1.04719850880776,1.04743866086188,1,2.028,1,2.01
41,41,HuberFirst,0.0439433103938462,0.164468090753633,0.0142170076841686,0.31584554928551,0.994805348830566,3.453465,3.5303386,3.4136417,3.4895761,144.782124619766,141.629474294619,146.471142533793,143.283879093509,1.02225984627034,1.02224439665124,1,2.02,1,2.01
42,42,SquaredLossFirst,0.0446884012470271,0.162099306585754,0.0167005181712364,0.323470946414055,0.995199258132125,3.3922751,3.6298139,3.3534499,3.5903453,147.393706365383,137.748108794228,149.100184857391,139.262371226522,1.07002344827517,1.07064229586373,1,2.036,1,2.018
43,43,HuberFirst,0.044454729681752,0.155805820757178,0.0165856064762679,0.343621092797844,0.995067145107814,3.4000168,3.5676027,3.3605208,3.5274301,147.058096889404,140.150134991209,148.786461907928,141.746253171679,1.049289727039,1.04966768841306,1,2.026,1,2.012
44,44,SquaredLossFirst,0.0445253042446247,0.155156422816099,0.0164668872105545,0.350753719319748,0.995366880344366,3.4576251,3.5335566,3.4169995,3.4924731,144.607927562766,141.500492733016,146.327209003103,143.165025379866,1.02196059370346,1.02208768248283,1,2.026,1,2.014
45,45,HuberFirst,0.0441140724942468,0.157836961792314,0.0165604318793237,0.333321495158596,0.994464788204841,3.4429929,3.5683685,3.4035822,3.5292546,145.222489421921,140.120057667811,146.904047153614,141.67297536426,1.03641471348953,1.03692356835102,1,2.028,1,2.02
46,46,SquaredLossFirst,0.0442430232666646,0.164498342740536,0.0171121858324446,0.315096373821714,0.99454762233148,3.3732251,3.5282878,3.3332965,3.4884907,148.226099704997,141.711795732763,150.001657518316,143.328460070139,1.04596867846145,1.04655877447446,1,2.046,1,2.02
47,47,HuberFirst,0.0443728841759647,0.164204893718175,0.0155693220148788,0.318580972322808,0.99514993958715,3.4818642,3.5661734,3.4416978,3.5266017,143.601235223361,140.206306288976,145.277136185519,141.779549417219,1.02421381052139,1.02466919088596,1,2.02,1,2.014
48,48,SquaredLossFirst,0.0444630510733339,0.167847305489121,0.0167906411305295,0.321804825738297,0.995056412999028,3.4568602,3.5881169,3.4158724,3.5471134,144.639924981635,139.348860122144,146.375491075135,140.959688517429,1.03796991848267,1.03842093164838,1,2.036,1,2.016
49,49,HuberFirst,0.0442675026809886,0.148986856404848,0.0164844155269304,0.357425907648959,0.994982381314337,3.411882,3.5306936,3.3722316,3.4913541,146.546685963934,141.615233901917,148.269768897249,143.210910632067,1.03482289246815,1.03532453109093,1,2.012,1,2.012
50,50,SquaredLossFirst,0.0442066940952163,0.163879163782844,0.0167942853637377,0.318407771846154,0.994758515777931,3.4216497,3.5453545,3.3814146,3.5050401,146.128342711412,141.029620592243,147.86710863554,142.651720304141,1.03615355481889,1.03656029047725,1,2.04,1,2.024
